Datetime,Max_Demand_MW,Peak_Shortage_MW,Energy_Met_MU
2014-03-03,121019.0,3660.0,2510.8
2014-03-04,125693.0,4221.0,2578.2
2014-03-05,125309.0,4350.0,2576.9
2014-03-06,127438.0,3343.0,2624.0
2014-03-07,127570.0,4455.0,2637.8
2014-03-08,128460.0,3851.0,2657.1
2014-03-09,126656.0,3557.0,2640.0
2014-03-10,123268.0,3418.0,2576.9
2014-03-11,253976.0,8664.0,5210.2
2014-03-12,125877.0,3495.0,2612.4
2014-03-13,127555.0,4660.0,2645.2
2014-03-14,130107.0,4077.0,2709.8
2014-03-15,130125.0,4802.0,2751.1
2014-03-16,131346.0,5462.0,2782.7
2014-03-17,128261.0,3460.0,2709.5
2014-03-18,244846.0,5588.0,5168.4
2014-03-19,127580.0,5005.0,2653.5
2014-03-20,131180.0,6036.0,2789.5
2014-03-21,132100.0,7554.0,2818.7
2014-03-22,132726.0,6127.0,2808.1
2014-03-23,133278.0,4614.0,2852.3
2014-03-24,130935.0,4581.0,2799.7
2014-03-25,129352.0,5581.0,2756.2
2014-03-26,132415.0,5283.0,2821.2
2014-03-27,134444.0,4442.0,2901.2
2014-03-28,135130.0,5270.0,2889.9
2014-03-29,134331.0,5240.0,2864.5
2014-03-30,136559.0,6730.0,2860.1
2014-03-31,130921.0,4356.0,2801.5
2014-04-01,133972.0,5426.0,2859.5
2014-04-02,134001.0,4342.0,2873.4
2014-04-03,134603.0,5726.0,2876.9
2014-04-04,135833.0,5821.0,2904.6
2014-04-05,135779.0,6981.0,2910.6
2014-04-06,268958.0,14866.0,5771.2
2014-04-07,132173.0,5556.0,2826.1
2014-04-08,128888.0,6153.0,2880.2
2014-04-09,270254.0,12004.0,5804.4
2014-04-10,135360.0,4764.0,2894.4
2014-04-11,133917.0,6129.0,2872.5
2014-04-12,268710.0,11706.0,5799.8
2014-04-13,133703.0,6602.0,2883.7
2014-04-14,128189.0,6047.0,2768.3
2014-04-15,131686.0,5489.0,2831.9
2014-04-16,134888.0,5479.0,2902.7
2014-04-17,135208.0,6524.0,2898.3
2014-04-18,134606.0,5255.0,2883.4
2014-04-19,130821.0,4902.0,2755.2000000000003
2014-04-20,132747.0,4526.0,2791.0
2014-04-21,126933.0,5031.0,2702.7
2014-04-22,265960.0,12014.0,5632.599999999999
2014-04-23,133550.0,5939.0,2892.4
2014-04-24,135002.0,7540.0,2921.8
2014-04-25,134125.0,6305.0,2914.4
2014-04-26,136678.0,7485.0,2974.8
2014-04-27,137897.0,5793.0,2988.6
2014-04-28,133379.0,4335.0,2918.4
2014-04-29,138124.0,5893.0,2984.6
2014-04-30,139294.0,5912.0,3023.8
2014-05-01,138324.0,6863.0,2992.9
2014-05-02,134652.0,3181.0,2933.7999999999997
